HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
HOWA,Hooded Warbler,Setophaga citrina,SETCIT
AMRE,American Redstart,Setophaga ruticilla,SETRUT
KIWA,Kirtland's Warbler,Setophaga kirtlandii,SETKIR
CMWA,Cape May Warbler,Setophaga tigrina,SETTIG
CERW,Cerulean Warbler,Setophaga cerulea,SETCER
NOPA,Northern Parula,Setophaga americana,SETAME
SUWA,Sutton's Warbler,Setophaga americana x dominica,SETAMD
TRPA,Tropical Parula,Setophaga pitiayumi,SETPIM,
MAWA,Magnolia Warbler,Setophaga magnolia,SETMAG
BBWA,Bay-breasted Warbler,Setophaga castanea,SETCAS
BLBW,Blackburnian Warbler,Setophaga fusca,SETFUS
YEWA,Yellow Warbler,Setophaga petechia,SETPET
MANW,Mangrove Warbler,Setophaga petechia erithachorides,SETPER
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,SETPEN
BLPW,Blackpoll Warbler,Setophaga striata,SETSTR
BTBW,Black-throated Blue Warbler,Setophaga caerulescens,SETCAE
PAWA,Palm Warbler,Setophaga palmarum,SETPAL
WPWA,Western Palm Warbler,Setophaga palmarum palmarum,SETPPA
YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea,SETPHY
OCAW,Olive-capped Warbler,Setophaga pityophila,SETPIP,
PIWA,Pine Warbler,Setophaga pinus,SETPIN
YRWA,Yellow-rumped Warbler,Setophaga coronata,SETCOR
MYWA,Myrtle Warbler,Setophaga coronata coronata,SETCCO
AUWA,Audubon's Warbler,Setophaga coronata auduboni,SETCAU
YTWA,Yellow-throated Warbler,Setophaga dominica,SETDOM
BAHW,Bahama Warbler,Setophaga flavescens,SETFLA
VITW,Vitelline Warbler,Setophaga vitellina,SETVIT
PRAW,Prairie Warbler,Setophaga discolor,SETDIS
ADWA,Adelaide's Warbler,Setophaga adelaidae,SETADE
BARW,Barbuda Warbler,Setophaga subita,SETSUB
SLWA,St. Lucia Warbler,Setophaga delicata,SETDEL
GRWA,Grace's Warbler,Setophaga graciae,SETGRA
BTYW,Black-throated Gray Warbler,Setophaga nigrescens,SETNIG
TOWA,Townsend's Warbler,Setophaga townsendi,SETTOW
THWH,Townsend's x Hermit Warbler Hybrid,Setophaga townsendi x occidentalis,SETTOO
HEWA,Hermit Warbler,Setophaga occidentalis,SETOCC
GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,SETCHR
BTNW,Black-throated Green Warbler,Setophaga virens,SETVIR
BURW,Buff-rumped Warbler,Myiothlypis fulvicauda,MYIFUL
FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,BASLAC
RCWA,Rufous-capped Warbler,Basileuterus rufifrons,BASRUF
CCAW,Chestnut-capped Warbler,Basileuterus delattrii,BASDEL
BCWA,Black-cheeked Warbler,Basileuterus melanogenys,BASMEG,
PIRW,Pirre Warbler,Basileuterus ignotus,BASIGN
GBWA,Golden-browed Warbler,Basileuterus belli,BASBEL
GCRW,Golden-crowned Warbler,Basileuterus culicivorus,BASCUL
CRWA,Costa Rican Warbler,Basileuterus melanotis,BASMET,
TAWA,Tacarcuna Warbler,Basileuterus tacarcunae,BASTAC
CAWA,Canada Warbler,Cardellina canadensis,CADCAN,
WIWA,Wilson's Warbler,Cardellina pusilla,CARPUS
RFWA,Red-faced Warbler,Cardellina rubrifrons,CARRUF,
REWA,Red Warbler,Cardellina rubra,CARRUA,
PHWA,Pink-headed Warbler,Cardellina versicolor,CARVER
PARE,Painted Redstart,Myioborus pictus,MYIPIC
STRE,Slate-throated Redstart,Myioborus miniatus,MYIMIN
COLR,Collared Redstart,Myioborus torquatus,MYITOR
HYWA,Hybrid Warbler,Parulidae hybrid,PARHYB
UNWA,Unidentified Warbler,"Parulidae (gen, sp)",PARGSP
RTTA,Rose-throated Tanager,Piranga roseogularis,PIRROS
HETA,Hepatic Tanager,Piranga flava,PIRFLA
SUTA,Summer Tanager,Piranga rubra,PIRRUB
SCTA,Scarlet Tanager,Piranga olivacea,PIROLI
WETA,Western Tanager,Piranga ludoviciana,PIRLUD
FCTA,Flame-colored Tanager,Piranga bidentata,PIRBID
WWTA,White-winged Tanager,Piranga leucoptera,PIRLEU
RHTA,Red-headed Tanager,Piranga erythrocephala,PIRERY
UPTA,Unidentified Piranga Tanager,Piranga (sp),PIRSPE
RTAT,Red-throated Ant-Tanager,Driophlox fuscicauda,DRIFUS
BCAT,Black-cheeked Ant-Tanager,Driophlox atrimaxillaris,DRIATR
RCAT,Red-crowned Ant-Tanager,Habia rubica,HABRUB
CATA,Carmiol's Tanager,Chlorothraupis carmioli,CHLCAR
LSTA,Lemon-spectacled Tanager,Chlorothraupis olivacea,CHLOLI
CCGR,Crimson-collared Grosbeak,Periporphyrus celaeno,PERCEL
BFAG,Black-faced Grosbeak,Caryothraustes poliogaster,CARPOL
YGGR,Yellow-green Grosbeak,Caryothraustes canadensis,CATCAN
NOCA,Northern Cardinal,Cardinalis cardinalis,CARCAI,
PYRR,Pyrrhuloxia,Cardinalis sinuatus,CARSIN
YEGR,Yellow Grosbeak,Pheucticus chrysopeplus,PHECHR
BTGG,Black-thighed Grosbeak,Pheucticus tibialis,PHETIB
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,PHELUD
BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,PHEMEL
RBRC,Red-breasted Chat,Granatellus venustus,GRAVEN
GTCH,Gray-throated Chat,Granatellus sallaei,GRASAL
BLSE,Blue Seedeater,Amaurospiza concolor,AMSCON,
BGRO,Blue-black Grosbeak,Cyanoloxia cyanoides,CYACYD,
BLBU,Blue Bunting,Cyanocompsa parellina,CYAPAR
BLGR,Blue Grosbeak,Passerina caerulea,PASCAE
LAZB,Lazuli Bunting,Passerina amoena,PASAMO
ILBH,Indigo X Lazuli Bunting Hybrid,Passerina cyanea x amoena,PASCYM
INBU,Indigo Bunting,Passerina cyanea,PASCYA
RBBU,Rose-bellied Bunting,Passerina rositae,PASROS
OBBU,Orange-breasted Bunting,Passerina leclancherii,PASLEC
VABU,Varied Bunting,Passerina versicolor,PASVER
PABU,Painted Bunting,Passerina ciris,PASCIR
DICK,Dickcissel,Spiza americana,SPIAME
DFTA,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS
BAGT,Blue-and-gold Tanager,Bangsia arcaei,BANAR
RCCA,Red-crested Cardinal,Paroaria coronata,PARCO
YBCA,Yellow-billed Cardinal,Paroaria capitata,PARCA
SPTA,Speckled Tanager,Ixothraupis guttata,IXOGU
GAGT,Gray-and-gold Tanager,Poecilostreptus palmeri,POEPA
ARTA,Azure-rumped Tanager,Poecilostreptus cabanisi,POECA
BGTA,Blue-gray Tanager,Thraupis episcopus,THREP
YWTA,Yellow-winged Tanager,Thraupis abbas,THRAB
PATA,Palm Tanager,Thraupis palmarum,THRPA
GHOT,Golden-hooded Tanager,Stilpnia larvata,STILA
LATA,Lesser Antillean Tanager,Stilpnia cucullata,STICU
GNTA,Green-naped Tanager,Tangara fucosa,TANFU
SCHT,Spangle-cheeked Tanager,Tangara dowii,TANDO
PCTA,Plain-colored Tanager,Tangara inornata,TANIN
RWTA,Rufous-winged Tanager,Tangara lavinia,TANLA
BHTA,Bay-headed Tanager,Tangara gyrola,TANGY
EMTA,Emerald Tanager,Tangara florida,TANFL
STTA,Silver-throated Tanager,Tangara icterocephala,TANIC
WECO,White-eared Conebill,Conirostrum leucogenys,CONLE
SAFI,Saffron Finch,Sicalis flaveola,SICFL
GRYF,Grassland Yellow-Finch,Sicalis luteola,SICLU
SLFI,Slaty Finch,Haplospiza rustica,HAPRU
PBFI,Peg-billed Finch,Acanthidops bairdi,ACABA
CBFL,Cinnamon-bellied Flowerpiercer,Diglossa baritula,DIGBA
SLFL,Slaty Flowerpiercer,Diglossa plumbea,DIGPL
GRHO,Green Honeycreeper,Chlorophanes spiza,CHLSP
BAYT,Black-and-yellow Tanager,Chrysothlypis chrysomelas,CHRCH
SURT,Sulphur-rumped Tanager,Heterospingus rubrifrons,HETRU
SBTA,Scarlet-browed Tanager,Heterospingus xanthopygius,HETXA
YBTA,Yellow-backed Tanager,Hemithraupis flavicollis,HEMFL
BGRA,Blue-black Grassquit,Volatinia jacarina,VOLJA
GHET,Gray-headed Tanager,Eucometis penicillata,EUCPE
WSTA,White-shouldered Tanager,Loriotus luctuosus,LORLUC
TCTA,Tawny-crested Tanager,Tachyphonus delatrii,TACDEL
WLTA,White-lined Tanager,Tachyphonus rufus,TACRUF
BTST,Black-throated Shrike-Tanager,Lanio aurantius,LANAUR
WTST,White-throated Shrike-Tanager,Lanio leucothorax,LANLEU
CCTA,Crimson-collared Tanager,Ramphocelus sanguinolentus,RAMSAG,
FRTA,Flame-rumped Tanager,Ramphocelus flammigerus,RAMFLG,
SCRT,Scarlet-rumped Tanager,Ramphocelus passerinii,RAMPAS
CBTA,Crimson-backed Tanager,Ramphocelus dimidiatus,RAMDIM
SWTA,Swallow Tanager,Tersina viridis,TERVIR
SHHO,Shining Honeycreeper,Cyanerpes lucidus,CYALUC
PUHO,Purple Honeycreeper,Cyanerpes caeruleus,CYACAE
RLHO,Red-legged Honeycreeper,Cyanerpes cyaneus,CYACYU,
STDA,Scarlet-thighed Dacnis,Dacnis venusta,DACVEN
BLDA,Blue Dacnis,Dacnis cayana,DACCAY
VIDA,Viridian Dacnis,Dacnis viguieri,DACVIG
BANA,Bananaquit,Coereba flaveola,COEFLA
YFGR,Yellow-faced Grassquit,Tiaris olivaceus,TIAOLI
ORAN,Orangequit,Euneornis campestris,EUNCAM
PRBU,Puerto Rican Bullfinch,Melopyrrha portoricensis,MEPPOR,
SKBU,St. Kitts Bullfinch,Melopyrrha grandis,MELGRA
CUBU,Cuban Bullfinch,Melopyrrha nigra,MEPNIG,
GCBU,Grand Cayman Bullfinch,Melopyrrha taylori,MELTAY
GABU,Greater Antillean Bullfinch,Melopyrrha violacea,MELVIO
YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,LOXANO
CUGR,Cuban Grassquit,Phonipara canora,PHOCAN
LANB,Lesser Antillean Bullfinch,Loxigilla noctis,LOXNOC
BABU,Barbados Bullfinch,Loxigilla barbadensis,LOXBAD
BFGR,Black-faced Grassquit,Melanospiza bicolor,MELBIC
SLBF,St. Lucia Black Finch,Melanospiza richardsoni,MELRIC
COFI,Cocos Finch,Pinaroloxias inornata,PININO
LESE,Lesson's Seedeater,Sporophila bouvronides,SPOBOU
LISE,Lined Seedeater,Sporophila lineola,SPOLI
TBSF,Thick-billed Seed-Finch,Sporophila funerea,SPOFU
LBSF,Large-billed Seed-Finch,Sporophila crassirostris,SPOCR
NISF,Nicaraguan Seed-Finch,Sporophila nuttingi,SPONU
VASE,Variable Seedeater,Sporophila corvina,SPOCO
SCSE,Slate-colored Seedeater,Sporophila schistacea,SPOSC
CRSE,Cinnamon-rumped Seedeater,Sporophila torqueola,SPOTO
MOSE,Morelet's Seedeater,Sporophila morelleti,SPOMO
YBSE,Yellow-bellied Seedeater,Sporophila nigricollis,SPONI
RBSE,Ruddy-breasted Seedeater,Sporophila minuta,SPOMI
WTGF,Wedge-tailed Grass-Finch,Emberizoides herbicola,EMBHE
BHSA,Black-headed Saltator,Saltator atriceps,SALAT
BTSA,Buff-throated Saltator,Saltator maximus,SALMA
SCOG,Slate-colored Grosbeak,Saltator grossus,SALGR
LASA,Lesser Antillean Saltator,Saltator albicollis,SALAL
CIBS,Cinnamon-bellied Saltator,Saltator grandis,SALGR
SSAL,Streaked Saltator,Saltator striatipectus,SALSTR
UNBI,Unidentified Bird,"Aves (gen, sp)",AVEGSP
SPRA,Spotted Rail,Pardirallus maculatus,PARMAS,
ZARA,Zapata Rail,Mustelirallus cerverai,MUSCER
COLC,Colombian Crake,Mustelirallus colombianus,MUSCOL
PBCR,Paint-billed Crake,Mustelirallus erythrops,MUSERY
